trading_name,x_coordinate,y_coordinate,block_id,clue_small_area,property_id,type
Roy's Cafe,144.9656241,-37.80080042,246,Carlton,104449,restaurant
Zuppa,144.9578132,-37.81636534,42,Melbourne (CBD),110095,restaurant
Donoghue's ,144.9560169,-37.8134766,72,Melbourne (CBD),105726,restaurant
Subway,144.9634979,-37.81592157,34,Melbourne (CBD),103176,restaurant
Funk Fish,144.9572395,-37.80745984,113,Melbourne (CBD),110688,restaurant
La Di Da,144.9556244,-37.81551353,52,Melbourne (CBD),592048,restaurant
Hopscotch,144.9633758,-37.82092509,801,Southbank,110326,restaurant
Viet St,144.9629844,-37.81570426,34,Melbourne (CBD),110669,restaurant
Yo-Chi,144.9680207,-37.79844782,217,Carlton,103704,restaurant
Origami Sushi & Noodles ,144.947217,-37.81817241,1103,Docklands,599505,restaurant
The Pavilion,144.9804557,-37.81296163,619,East Melbourne,111456,restaurant
Sumo Salad,144.9523393,-37.81815358,1101,Docklands,108973,restaurant
Riverside Deli & Coffee House,144.9582721,-37.81974184,12,Melbourne (CBD),103997,restaurant
Di Bella Coffee,144.9505945,-37.80447359,354,North Melbourne,105606,restaurant
Yeonga,144.956923,-37.80560474,360,North Melbourne,102034,restaurant
Amigos Hardware Lane,144.9608667,-37.8131434,64,Melbourne (CBD),104660,restaurant
Turf Club Hotel ,144.9563792,-37.80130394,375,North Melbourne,103809,restaurant
Degani At Urban Workshop,144.9707325,-37.8091842,78,Melbourne (CBD),603923,restaurant
University High School Canteen,144.9560633,-37.79746671,921,Parkville,109209,restaurant
Alice Nevins,144.9665517,-37.81724878,15,Melbourne (CBD),104014,restaurant
Goldilocks,144.9651474,-37.81181063,66,Melbourne (CBD),109390,restaurant
Blu Point Caffe,144.9664575,-37.80822377,97,Melbourne (CBD),588500,restaurant
Elceed Cafe,144.9471385,-37.80252643,333,North Melbourne,107975,restaurant
Sea Salt,144.9656264,-37.81760781,15,Melbourne (CBD),104010,restaurant
Domino's Pizza,144.9651037,-37.80077102,245,Carlton,104450,restaurant
Meyers Place Bar,144.9723505,-37.81207814,48,Melbourne (CBD),106559,restaurant
"The Attic, Artisan Bread And Cafe",144.9561073,-37.81571393,52,Melbourne (CBD),101172,restaurant
North Melbourne Takeaway & Snack Bar,144.9429106,-37.80428921,340,North Melbourne,102788,restaurant
Taco Bill,144.9315233,-37.79484451,513,Kensington,103033,restaurant
3 Lt Monkeys,144.9655966,-37.8166033,25,Melbourne (CBD),101789,restaurant
Eat Pizza Flinders Street,144.9565185,-37.82099397,1,Melbourne (CBD),611394,restaurant
Cafe On Collins,144.9638231,-37.81662708,24,Melbourne (CBD),110762,restaurant
Chiara,144.9511863,-37.82096812,1105,Docklands,605909,restaurant
Draculas,144.964176,-37.80649729,265,Carlton,109848,restaurant
Jung Gun Restaurant,144.9560169,-37.8134766,72,Melbourne (CBD),110708,restaurant
Father John Cafe,144.9720594,-37.81012699,68,Melbourne (CBD),108989,restaurant
Bouverie Deli,144.9627288,-37.8013409,243,Carlton,105654,restaurant
Smile Thai Restaurant,144.949623,-37.80538734,423,West Melbourne (Residential),109719,restaurant
Chi Cafe,144.9881385,-37.81042804,612,East Melbourne,100373,restaurant
Jerry's Burgers 'n' Fries,144.9299704,-37.79424521,2524,Kensington,616011,restaurant
Fatto Bar & Cantina,144.9682264,-37.82094188,752,Southbank,110734,restaurant
Kaprica,144.9627813,-37.80336259,256,Carlton,518847,restaurant
1932 Cafe & Restaurant,144.9661258,-37.81528474,35,Melbourne (CBD),109267,restaurant
Oshin Sushi Bar,144.9585626,-37.7849288,906,Parkville,108505,restaurant
Hudsons Elizabeth Street,144.9641934,-37.81591326,35,Melbourne (CBD),103325,restaurant
Feast @ 520,144.9572629,-37.81780327,32,Melbourne (CBD),102116,restaurant
KL Bunga Raya,144.9497225,-37.80435713,354,North Melbourne,103520,restaurant
Sakura Kaiten Sushi,144.9716953,-37.81309819,38,Melbourne (CBD),105913,restaurant
Koko Black Chocolate,144.9718392,-37.81355886,38,Melbourne (CBD),102165,restaurant
The Corkman Irish Pub,144.960916,-37.80243195,257,Carlton,105516,restaurant
Entrecote City,144.9702813,-37.8139675,37,Melbourne (CBD),102157,restaurant
Harry's At Stamford ,144.9697676,-37.8136886,37,Melbourne (CBD),105915,restaurant
Iseya Icecream Bar And Cafe,144.9615299,-37.81884626,13,Melbourne (CBD),104002,restaurant
Mr Price's Food Store,144.9506624,-37.8028658,369,North Melbourne,108001,restaurant
