name,Locality,Percentage of VCE students applying for tertiary places,Percentage of satisfactory VCE completions in 2021,Median VCE study score,Percentage of study scores of 40 and over,study_score_rank,40_plus_top30,study_score_top30
Academy of Mary Immaculate,FITZROY,94,100,30,6.5,mid_50,no,no
Aitken College,GREENVALE,94,98,28,2.7,mid_50,no,no
Al Iman College,MELTON SOUTH,36,100,26,3.9,low_25,no,no
Al Siraat College,EPPING,95,100,30,4.6,mid_50,no,no
Al-Taqwa College,TRUGANINA,97,100,26,0.7,low_25,no,no
Albert Park College,ALBERT PARK,86,99,30,9,mid_50,no,no
Alexandra Secondary College,ALEXANDRA,70,100,26,0.8,low_25,no,no
Alia College,HAWTHORN EAST,25,83,24,0,low_25,no,no
Alice Miller School,MACEDON,75,100,35,14.2,top_25,no,yes
Alkira Secondary College,CRANBOURNE NORTH,82,97,29,3.5,mid_50,no,no
Alphington Grammar School,ALPHINGTON,98,100,31,5,mid_50,no,no
Altona College,ALTONA,87,100,31,7.7,mid_50,no,no
Antonine College,PASCOE VALE SOUTH,94,100,28,5.2,mid_50,no,no
Apollo Bay P-12 College,APOLLO BAY,69,100,33,5.4,top_25,no,no
Aquinas College,RINGWOOD,85,99,31,7.5,mid_50,no,no
Ararat Secondary College,ARARAT,53,89,25,2.7,low_25,no,no
Ashwood High School,ASHWOOD,96,100,33,10.8,top_25,no,no
Assumption College,KILMORE,75,100,28,4,mid_50,no,no
Auburn High School,HAWTHORN EAST,94,100,31,10.6,mid_50,no,no
Australian Internatl Academy,COBURG,95,97,24,0.6,low_25,no,no
Australian Internatl Academy,CAROLINE SPRINGS,100,100,26,2.6,low_25,no,no
Ave Maria College,ABERFELDIE,96,100,31,5.8,mid_50,no,no
Avila College,MOUNT WAVERLEY,98,100,32,7.2,top_25,no,no
Bacchus Marsh College,BACCHUS MARSH,54,100,25,2.4,low_25,no,no
Bacchus Marsh Grammar,BACCHUS MARSH,88,100,31,9.1,mid_50,no,no
Baimbridge College,HAMILTON,52,97,24,2.1,low_25,no,no
Bairnsdale Secondary College,BAIRNSDALE,61,98,26,2.8,low_25,no,no
Balcombe Grammar School,MOUNT MARTHA,85,100,32,8.4,top_25,no,no
Ballarat Christian College,SEBASTOPOL,60,100,22,0,low_25,no,no
Ballarat Clarendon College,BALLARAT,93,100,37,32.5,top_25,yes,yes
Ballarat Grammar,WENDOUREE,91,100,32,13.3,top_25,no,no
Ballarat High School,BALLARAT,61,94,28,1.8,mid_50,no,no
Balwyn High School,BALWYN NORTH,91,99,32,16.9,top_25,no,no
Bannockburn P-12 College,BANNOCKBURN,-,-,30,0,mid_50,no,no
Bayside Christian College,LANGWARRIN SOUTH,79,100,30,6,mid_50,no,no
Bayside P-12 College,NEWPORT,75,90,30,5,mid_50,no,no
Bayswater Secondary College,BAYSWATER,50,94,26,0,low_25,no,no
Bayview College,PORTLAND,86,95,28,0,mid_50,no,no
Beaconhills College,BERWICK,93,99,29,5.8,mid_50,no,no
Beaconhills College,PAKENHAM,68,98,30,5.7,mid_50,no,no
Beaufort Secondary College,BEAUFORT,64,93,28,2,mid_50,no,no
Beechworth Secondary College,BEECHWORTH,53,100,29,9.1,mid_50,no,no
Belgrave Heights Christian Schl,BELGRAVE HEIGHTS,86,100,30,7.2,mid_50,no,no
Bellarine Secondary College,DRYSDALE,77,97,27,2,mid_50,no,no
Belmont High School,BELMONT,61,98,28,4.3,mid_50,no,no
Benalla P-12 College,BENALLA,68,94,25,2,low_25,no,no
Bendigo Senior Sec College,BENDIGO,57,96,26,1.9,low_25,no,no
Bentleigh Secondary College,BENTLEIGH EAST,76,98,28,2.1,mid_50,no,no
Berwick Grammar School,OFFICER,100,100,30,8.9,mid_50,no,no
Berwick Secondary College,BERWICK,66,96,29,6.4,mid_50,no,no
Beth Rivkah Ladies College,ST KILDA EAST,74,100,34,20.9,top_25,yes,no
Bialik College,HAWTHORN,99,100,37,32.6,top_25,yes,yes
Billanook College,MOOROOLBARK,97,99,31,5.4,mid_50,no,no
Birchip P-12 School,BIRCHIP,75,100,30,2.4,mid_50,no,no
Blackburn High School,BLACKBURN,84,99,29,5.1,mid_50,no,no
Boort District P-12 School,BOORT,56,81,31,15.6,mid_50,no,no
Boronia K-12 College,BORONIA,58,89,24,0.7,low_25,no,no
Box Hill High School,BOX HILL,91,100,32,13.1,top_25,no,no
Box Hill Institute - CAE campus,MELBOURNE,36,82,25,2,low_25,no,no
Box Hill Senior Sec College,MONT ALBERT NORTH,52,97,24,1.7,low_25,no,no
Braemar College,WOODEND,90,99,32,11.4,top_25,no,no
Brauer College,WARRNAMBOOL,59,98,27,2.5,mid_50,no,no
Braybrook College,BRAYBROOK,99,100,31,12.3,mid_50,no,no
Brentwood Secondary College,GLEN WAVERLEY,81,99,29,5.7,mid_50,no,no
Bright P-12 College,BRIGHT,83,100,28,4.7,mid_50,no,no
Brighton Grammar School,BRIGHTON,94,100,34,17.7,top_25,no,no
Brighton Secondary College,BRIGHTON EAST,87,98,29,7.6,mid_50,no,no
Broadford Secondary College,BROADFORD,82,96,25,1.3,low_25,no,no
Brunswick Secondary College,BRUNSWICK,86,99,30,9.2,mid_50,no,no
Buckley Park College,ESSENDON,87,99,29,6.3,mid_50,no,no
Bundoora Secondary College,BUNDOORA,77,95,28,1.3,mid_50,no,no
Camberwell Anglican Girls GS,CANTERBURY,100,100,35,24.1,top_25,yes,yes
Camberwell Grammar School,CANTERBURY,98,99,33,17.1,top_25,no,no
Camberwell High School,CANTERBURY,92,99,30,7.6,mid_50,no,no
Camperdown College,CAMPERDOWN,80,100,27,0,mid_50,no,no
Cann River P-12 College,CANN RIVER,100,100,26,0,low_25,no,no
Canterbury Girls Sec College,CANTERBURY,90,100,33,13.7,top_25,no,no
Carey Baptist Grammar School,KEW,97,100,34,17.2,top_25,no,no
Caroline Chisholm Catholic Coll,BRAYBROOK,91,99,28,4.3,mid_50,no,no
Carrum Downs Sec College,CARRUM DOWNS,56,88,23,0,low_25,no,no
Carwatha College P-12,NOBLE PARK NORTH,79,95,27,3,mid_50,no,no
Casey Grammar School,CRANBOURNE,89,100,31,8.3,mid_50,no,no
Casterton Secondary College,CASTERTON,56,100,29,10.5,mid_50,no,no
Castlemaine Secondary College,CASTLEMAINE,65,95,26,0.7,low_25,no,no
Cathedral College,WANGARATTA,59,100,30,4.4,mid_50,no,no
Catherine McAuley College,BENDIGO,78,99,28,6.2,mid_50,no,no
Catholic College Sale,SALE,63,99,28,5.7,mid_50,no,no
Catholic College Wodonga,WODONGA,51,99,28,3.7,mid_50,no,no
